EntrezID	SYMBOL	TXCHROM	GeneLength	Count
11480	Acvr2a	chr2	5681	979
11634	Aire	chr10	1929	15
12156	missing	chr2	2515	932
12290	Cacna1e	chr1	12697	0
12449	Ccnf	chr17	3099	214
12563	Cdh6	chr15	2632	2
12565	Cdh9	chr15	2903	2
12647	Chat	chr14	2810	0
12753	Clock	chr5	7478	1790
12801	Cnr1	chr4	5807	41
13177	Eci1	chr17	1091	1033
13560	E4f1	chr17	2574	700
14000	Drosha	chr15	4571	2075
14370	Fzd8	chr18	3346	351
14658	Glrb	chr3	2988	22
14800	Gria2	chr3	7749	0
14843	Gsx2	chr5	1665	0
15064	Mr1	chr1	2509	893
15112	Hao1	chr2	2029	3
15331	Hmgn2	chr4	1254	100
15939	Ier5	chr1	3270	32100
15944	Irgm1	chr11	2227	269
16542	Kdr	chr5	5456	34
16590	Kit	chr5	5182	20005
16796	Missing	chr11	3433	5751
17695	Msmb	chr14	522	0
18105	Nqo2	chr13	4045	275
18356	Olfr56	chr11	1930	9
18595	Pdgfra	chr5	6737	849
18641	Pfkl	chr10	3719	7175
18777	Lypla1	chr1	2433	768
18795	Plcb1	chr2	7116	358
18798	Plcb4	chr2	3692	234
19330	Rab18	chr18	2257	5065
19766	Ripk1	chr13	4495	2096
19775	Xpr1	chr1	7651	1994
19826	Rnps1	chr17	1923	757
19888	Rp1	chr1	9747	0
20111	Rps6ka1	chr4	3137	2310
20508	Slc18a3	chr14	2414	0
20671	Sox17	chr1	3130	1
20709	Serpinb9f	chr13	1912	0
20719	Serpinb6a	chr13	1888	3091
21399	Tcea1	chr1	2847	810
21822	Tgtp1	chr11	2809	30
21982	Tmem165	chr5	1896	816
22658	Pcgf2	chr11	2836	817
23833	Cd52	chr4	503	1
24018	Rngtt	chr4	4153	580
24136	Zeb2	chr2	9113	33
26369	Cetn1	chr18	1051	0
26428	Orc4	chr2	4978	941
26430	Parg	chr14	4391	1445
26446	Psmb3	chr11	731	522
26565	Pla2g10	chr16	1022	2
26932	Ppp2r5e	chr12	4810	2346
27057	Ncoa4	chr14	3577	572
27395	Mrpl15	chr1	4203	431
27410	Abca3	chr17	6453	5797
28240	Trpm2	chr10	7292	2
50723	Icosl	chr10	2748	70
50793	Orc3	chr4	6313	1236
52837	Tmx4	chr2	5148	966
53600	Timm23	chr14	1162	235
54427	Dnmt3l	chr10	1885	2
54635	Pdgfc	chr3	3512	3009
57357	Srd5a3	chr5	1769	431
58175	Rgs20	chr1	2241	452
58244	Stx6	chr1	2459	2602
65019	Rpl23	chr11	1062	3481
66598	NA	NA	1611	99
66629	Golph3	chr15	2608	11857
66705	Dnase1l2	chr17	1236	35
66841	Etfdh	chr3	2281	1952
67085	1700024G13Rik	chr14	398	0
67118	Bfar	chr16	3003	706
67422	Dhdds	chr4	3110	1317
67480	Cwc25	chr11	3307	1130
67586	Ubxn11	chr4	1577	92
67652	Spaca1	chr4	1073	0
67738	Ppid	chr3	1728	871
67884	1810043G02Rik	chr10	1696	730
67974	Ccny	chr18	4017	3892
68070	Pdzd2	chr15	13413	3772
68659	Fam198b	chr3	6627	20
68808	1110046J04Rik	chr13	777	7
69405	1700019E08Rik	chr2	635	0
70012	Cep85	chr4	3866	756
70100	2310015D24Rik	chr16	2917	1
70652	Tmem144	chr3	2292	210
72016	Tedc2	chr17	2145	101
72215	1700001P01Rik	chr11	624	17
72338	Wdr89	chr12	2981	21
73723	Sh3bgrl3	chr4	707	537
74108	Parn	chr16	2902	1240
74277	Chic2	chr5	1115	930
74284	1700086L19Rik	chr12	1046	1
74934	Armc4	chr18	3477	1
75188	1700009J07Rik	chr10	914	0
75627	Snapc1	chr12	2125	221
75739	Mpp7	chr18	5315	1599
75879	4930589L23Rik	NA	1364	0
75939	4930579G24Rik	chr3	1970	67
76161	Lamp5	chr2	1955	1
76684	Pla2g10os	chr16	331	0
77877	6030458C11Rik	chr15	5474	315
78112	4930452N14Rik	chr1	613	0
78805	4930545L23Rik	chr2	2502	0
80837	Rhoj	chr12	2358	739
83557	Lin28a	chr4	3480	0
93806	Serpinb9g	chr13	1925	0
94089	Trim7	chr11	1366	976
97848	Serpinb6c	chr13	1328	1
108083	Pip4k2b	chr11	5053	715
108767	Pnrc1	chr4	1925	18636
109093	Rars2	chr4	1867	289
109241	Mbd5	chr2	7055	1396
207678	NA	NA	1877	0
207792	BC034090	NA	4611	101
210719	Mkx	chr18	3201	285
211007	Trim41	chr11	3470	1665
217149	Cisd3	chr11	742	47
217674	Gphb5	chr12	1614	2
225131	Wac	chr18	5441	4483
225152	Gjd4	chr18	2661	2
227835	Gtdc1	chr2	2554	363
230806	Crybg2	chr4	4761	169
237387	Lrrc3	chr10	4296	135
238266	Syt16	chr12	2705	0
238271	Kcnh5	chr12	4061	2
238568	Serpinb6d	chr13	1467	0
239017	Ogdhl	chr14	3449	11
239719	Mkl2	chr16	8997	4088
241639	Fermt1	chr2	5255	1082
242377	Pm20d2	chr4	5578	92
245240	9930111J21Rik2	chr11	2403	0
246198	Mllt6	chr11	7271	3888
252974	Tspear	chr10	2163	17
258097	Olfr1500	chr19	936	0
258151	Olfr1505	chr19	951	0
258341	Olfr1495	chr19	960	0
258626	Olfr1501	chr19	948	0
258627	Olfr1504	chr19	948	0
258736	Olfr1497	chr19	945	0
258792	Olfr1499	chr19	945	0
